date,coal
2022-07-02,84.75
2022-07-03,84.75
2022-07-04,336.35
2022-07-05,345.35
2022-07-06,132.1
2022-07-07,376.95
2022-07-08,144.5
2022-07-09,144.5
2022-07-10,144.5
2022-07-11,171.05
2022-07-12,323.65
2022-07-13,232.6
2022-07-14,270.0
2022-07-15,146.0
2022-07-16,146.0
2022-07-17,146.0
2022-07-18,230.45
2022-07-19,67.55
2022-07-20,162.05
2022-07-21,185.15
2022-07-22,137.0
2022-07-23,137.0
2022-07-24,137.0
2022-07-25,318.2
2022-07-26,139.0
2022-07-27,71.5
2022-07-28,326.85
2022-07-29,139.25
2022-07-30,139.25
2022-07-31,139.25
2022-08-01,85.2
2022-08-02,107.0
2022-08-03,345.5
2022-08-04,132.6
2022-08-05,376.05
2022-08-06,376.05
2022-08-07,376.05
2022-08-08,171.4
2022-08-09,324.05
2022-08-10,228.5
2022-08-11,270.0
2022-08-12,216.2
2022-08-13,216.2
2022-08-14,216.2
2022-08-15,66.1
2022-08-16,147.0
2022-08-17,228.0
2022-08-18,67.5
2022-08-19,65.95
2022-08-20,65.95
2022-08-21,65.95
2022-08-22,189.0
2022-08-23,137.15
2022-08-24,68.5
2022-08-25,323.0
2022-08-26,137.1
2022-08-27,137.1
2022-08-28,137.1
2022-08-29,71.8
2022-08-30,326.65
2022-08-31,107.25
2022-09-01,345.5
2022-09-02,131.9
2022-09-03,131.9
2022-09-04,131.9
2022-09-05,131.9
2022-09-06,376.3
2022-09-07,377.75
2022-09-08,172.0
2022-09-09,323.65
2022-09-10,323.65
2022-09-11,323.65
2022-09-12,231.25
2022-09-13,146.5
2022-09-14,213.0
2022-09-15,66.1
2022-09-16,146.95
2022-09-17,146.95
2022-09-18,146.95
2022-09-19,229.5
2022-09-20,172.4
2022-09-21,65.9
2022-09-22,190.65
2022-09-23,139.0
2022-09-24,139.0
2022-09-25,139.0
2022-09-26,68.5
2022-09-27,326.85
2022-09-28,135.8
2022-09-29,71.8
2022-09-30,332.35
2022-10-01,332.35
2022-10-02,332.35
2022-10-03,108.0
2022-10-04,350.0
2022-10-05,132.3
2022-10-06,148.35
2022-10-07,370.0
2022-10-08,370.0
2022-10-09,370.0
2022-10-10,172.85
2022-10-11,327.0
2022-10-12,150.0
2022-10-13,213.9
2022-10-14,66.05
2022-10-15,66.05
2022-10-16,66.05
2022-10-17,142.75
2022-10-18,228.7
2022-10-19,163.25
2022-10-20,170.0
2022-10-21,65.7
2022-10-22,65.7
2022-10-23,65.7
2022-10-24,193.1
2022-10-25,137.9
2022-10-26,68.5
2022-10-27,325.05
2022-10-28,135.15
2022-10-29,135.15
2022-10-30,135.15
2022-10-31,138.75
2022-11-01,85.5
2022-11-02,331.05
2022-11-03,108.25
2022-11-04,348.1
2022-11-05,348.1
2022-11-06,348.1
2022-11-07,148.5
2022-11-08,371.25
2022-11-09,187.75
2022-11-10,269.55
2022-11-11,149.6
2022-11-12,149.6
2022-11-13,149.6
2022-11-14,213.8
2022-11-15,66.1
2022-11-16,142.0
2022-11-17,67.45
2022-11-18,164.6
2022-11-19,164.6
2022-11-20,164.6
2022-11-21,166.75
2022-11-22,65.8
2022-11-23,193.0
2022-11-24,68.5
2022-11-25,324.85
2022-11-26,324.85
2022-11-27,324.85
2022-11-28,326.0
2022-11-29,140.0
2022-11-30,85.75
2022-12-01,330.65
2022-12-02,108.5
2022-12-03,108.5
2022-12-04,108.5
2022-12-05,387.35
2022-12-06,148.9
2022-12-07,368.0
2022-12-08,237.15
2022-12-09,270.05
2022-12-10,270.05
2022-12-11,270.05
2022-12-12,148.0
2022-12-13,214.7
2022-12-14,67.65
2022-12-15,165.95
2022-12-16,166.4
2022-12-17,166.4
2022-12-18,166.4
2022-12-19,66.15
2022-12-20,68.5
2022-12-21,71.7
2022-12-22,324.75
2022-12-23,140.15
2022-12-24,140.15
2022-12-25,140.15
2022-12-26,140.15
2022-12-27,85.65
2022-12-28,330.6
2022-12-29,132.1
2022-12-30,389.5
2022-12-31,389.5
2023-01-01,389.5
2023-01-02,149.0
2023-01-03,368.8
2023-01-04,325.75
2023-01-05,234.0
2023-01-06,269.1
2023-01-07,269.1
2023-01-08,269.1
2023-01-09,148.0
2023-01-10,67.7
2023-01-11,165.95
2023-01-12,167.15
2023-01-13,148.15
2023-01-14,148.15
2023-01-15,148.15
2023-01-16,136.75
2023-01-17,71.85
